"place_id","city","state_code","is_suburb","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
4893,"DuPont","WA","suburb","Tacoma, WA","Tacoma-Lakewood, WA","Seattle-Tacoma-Bellevue, WA",0,0,8,8,0,587
8026,"Graysville","AL","suburb","Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0,5,5,0,259
22937,"Evans","GA","suburb","Augusta, GA","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",2,0.5,8.25,9,0.456598902871894,3099
30029,"Constantia","NY","suburb","Syracuse, NY","Syracuse, NY","Syracuse, NY",0,0,5,5,0,392
6367,"Farmington","UT","suburb","Ogden, UT","Ogden-Clearfield, UT","Ogden-Clearfield, UT",1,0.333333333333333,8,9,0.4375,2336
18995,"Stow","OH","suburb","Akron, OH","Akron, OH","Akron, OH",0,0,6.67,8,0,2384
20083,"Wolfe City","TX","suburb","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",0,0,5,5,0,303
10296,"Linden","NJ","suburb","Newark, NJ","Newark, NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",0,0,3.38,6,0,2967
245,"Albany","NY","principal_city","Albany, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",2,0.1,4.5,9,0.0814340588988476,7810
16364,"Sedgwick","KS","suburb","Wichita, KS","Wichita, KS","Wichita, KS",0,0,6,6,0,361
12189,"Moonachie","NJ","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,6,6,0,282
30555,"Schaghticoke","NY","suburb","Albany, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,0,6,6,0,488
13244,"Merton","WI","suburb","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",1,1,10,10,1,390
