 place_id , median_sale_price , median_sale_price_per_sqft , total_sales 
13,78000,63.36161188,32
19,130000,110.7325383,8
42,130275,96.00221076,5
46,168500,157.9194002,7
54,71900,56.5,15
58,128000,93.09090909,13
77,520000,388.6010363,7
81,142000,103.8781163,44
88,51000,40.74702886,21
96,179900,153.4722222,18
101,76650,70.4887218,5
117,805000,645.5696203,58
130,109900,85.08174387,10
148,900000,765.3061224,23
152,67500,56.51595745,35
166,143000,108.7257618,7
174,105000,91.90515127,5
177,173000,133.4876543,12
208,533333,455.3492485,36
213,45000,31.60037879,10
217,165000,117.4365647,6
227,150000,123.4290844,12
237,59900,44.64285714,9
243,82500,64.51612903,88
244,55900,51.04908566,180
245,148000,123.6641221,79
250,525000,380.2588997,40
251,124500,75.3063148,6
274,79395,67.28389831,5
285,65000,55.13146735,45
299,120000,87.27272727,13
312,231000,152.5529265,10
318,85000,63.51626016,24
333,173500,156.1662198,11
344,82000,65.11406844,73
346,84000,73.90084191,15
358,91000,69.57186544,20
370,38500,28.58231707,91
372,620000,441.1764706,6
373,200000,142.8571429,15
387,179900,169.7169811,8
390,245000,197.0833333,10
398,119900,104.0798611,6
399,168325,138.1710123,11
406,129200,96.15384615,28
407,355000,243.0437252,21
409,368000,244.516129,48
436,215000,161.4763552,18
438,196000,151.7960603,25
441,130000,110.5263158,44
444,149000,117.6594254,26
445,51600,46.95177434,7
446,67500,54.2798913,9
448,147500,101.5625,25
453,86000,78.97727273,5
455,120000,90.83333333,5
457,97500,65.23115896,31
465,80000,57.84574468,8
489,218000,143.2291667,5
492,184500,129.4736842,8
505,106000,94.64285714,18
508,318500,227.3695421,42
511,96500,79.53529937,6
514,120000,104.1275797,43
517,470000,357.1428571,68
531,129900,85.49707602,10
537,74000,59.7416577,31
543,108000,87.70731707,24
555,215000,170.2877275,162
568,130000,100.3460208,13
572,82400,60.81081081,15
584,64500,47.5867679,6
588,245000,219.2982456,30
591,89500,71.90942472,10
596,112000,91.45129225,15
604,109000,96.63120567,9
619,174500,127.2189349,84
632,320000,202.2727273,13
645,695000,589.2116183,29
671,76900,61.08144192,18
680,256000,193.8259109,29
691,58000,50.23148148,27
707,100000,90.27777778,6
710,226000,168.0025856,23
735,100000,87.78966132,24
756,394500,321.3166144,56
767,148900,95.98253275,26
782,255060,206.4896755,56
796,166500,126.1363636,5
809,330000,282.967033,34
810,164900,128.3737024,7
815,83000,61.30952381,27
818,150000,107.1829405,6
820,1185000,948,8
822,169900,94.95,5
830,115000,86.9205298,6
843,185000,161.2903226,18
844,130000,120.8178439,10
845,145000,114.7151899,11
856,309000,225.960452,55
864,60000,46.36363636,18
887,190000,134.3705799,5
891,125000,114.8325359,8
905,249000,138.381201,16
907,135500,99.74342527,18
913,169000,143.707483,5
914,66000,45.33333333,10
921,397000,370.3358209,10
937,76000,63.33333333,6
941,106103,98.24351852,9
