district_name,state,schooldistrictunified,total_commuters,commute_Less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,agg_travel_time,agg_travel_time_m,agg_travel_time_f,commute_under_30,commute_greater_than_30,percent_under_30,mean_commute_time,total_population,percent_drive_alone
"District of Columbia Public Schools, District of Columbia",11,00030,318458.0,4214.0,13801.0,23608.0,39400.0,50479.0,23340.0,66563.0,15683.0,18229.0,35420.0,21122.0,6599.0,9471230.0,4575215.0,4896015.0,154842.0,163616.0,0.4862242430712998,29.740907749216536,647484.0,0.3374251246927428
"Albany County School District 1, Wyoming",56,00730,19027.0,1620.0,6392.0,5757.0,2378.0,1085.0,241.0,525.0,37.0,80.0,426.0,340.0,146.0,243665.0,141850.0,101815.0,17473.0,1554.0,0.9183265885320859,12.806275293004678,37565.0,0.6535094227630213
"Carbon County School District 1, Wyoming",56,01030,5288.0,841.0,1828.0,1177.0,512.0,44.0,16.0,196.0,18.0,217.0,269.0,88.0,82.0,74715.0,57415.0,17300.0,4418.0,870.0,0.8354765506807866,14.129160363086234,11010.0,0.8089311859443631
"Big Horn County School District 4, Wyoming",56,01090,952.0,185.0,219.0,133.0,130.0,82.0,32.0,78.0,11.0,47.0,28.0,0.0,7.0,14490.0,9905.0,4585.0,781.0,171.0,0.8203781512605042,15.220588235294118,2392.0,0.7591876208897486
"Sublette County School District 9, Wyoming",56,01260,1810.0,458.0,541.0,123.0,63.0,65.0,24.0,116.0,53.0,25.0,192.0,23.0,127.0,42025.0,33270.0,8755.0,1274.0,536.0,0.7038674033149172,23.218232044198896,3831.0,0.7987117552334944
"Big Horn County School District 1, Wyoming",56,01420,1226.0,161.0,141.0,199.0,257.0,122.0,57.0,65.0,24.0,43.0,79.0,60.0,18.0,25195.0,15600.0,9595.0,937.0,289.0,0.7642740619902121,20.550570962479608,3098.0,0.7313432835820896
"Big Horn County School District 2, Wyoming",56,01460,1391.0,258.0,459.0,247.0,172.0,74.0,38.0,40.0,0.0,10.0,30.0,32.0,31.0,19530.0,13625.0,5905.0,1248.0,143.0,0.897196261682243,14.040258806613947,3431.0,0.6949860724233984
"Campbell County School District 1, Wyoming",56,01470,25433.0,1187.0,4962.0,5830.0,4284.0,2427.0,1341.0,2153.0,204.0,486.0,700.0,1185.0,674.0,514635.0,340120.0,174515.0,20031.0,5402.0,0.7875987889749538,20.234930995163765,48013.0,0.8109615384615385
"Carbon County School District 2, Wyoming",56,01700,2028.0,378.0,311.0,255.0,137.0,150.0,28.0,102.0,51.0,36.0,305.0,158.0,117.0,53030.0,34700.0,18330.0,1259.0,769.0,0.6208086785009862,26.148915187376726,4840.0,0.7059602649006622
"Laramie County School District 1, Wyoming",56,01980,43914.0,2607.0,9259.0,13300.0,10681.0,4019.0,734.0,1171.0,163.0,130.0,498.0,712.0,640.0,658550.0,372885.0,285665.0,40600.0,3314.0,0.9245343170742816,14.996356515006603,90188.0,0.823813212349231
"Park County School District 6, Wyoming",56,02070,7748.0,662.0,2427.0,2001.0,890.0,809.0,59.0,478.0,27.0,18.0,63.0,202.0,112.0,109170.0,57530.0,51640.0,6848.0,900.0,0.8838409912235415,14.090087764584409,15235.0,0.7557031837553272
