district_name,state,schooldistrictunified,total_commuters,commute_Less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,agg_travel_time,agg_travel_time_m,agg_travel_time_f,commute_under_30,commute_greater_than_30,percent_under_30,mean_commute_time,total_population,percent_drive_alone
"Fremont County School District 38, Wyoming",56,00960,506.0,26.0,110.0,125.0,85.0,68.0,2.0,41.0,6.0,7.0,2.0,19.0,15.0,9555.0,5845.0,3715.0,416.0,90.0,0.8221343873517787,18.883399209486164,1727.0,0.7537878787878788
"Remainder of Wyoming, Wyoming",56,99999,276394.0,24625.0,64581.0,64510.0,44361.0,23495.0,6610.0,16310.0,2657.0,3830.0,8874.0,8859.0,7682.0,5066610.0,3240500.0,1826110.0,228182.0,48212.0,0.82556784879556,18.33111427889173,577952.0,0.7676328318678926
"Lake Country School District, Wisconsin",55,00013,2178.0,120.0,246.0,287.0,253.0,244.0,190.0,321.0,67.0,169.0,197.0,53.0,31.0,53665.0,31520.0,22145.0,1340.0,838.0,0.6152433425160698,24.63957759412305,4404.0,0.8807420494699647
"Trevor-Wilmot Consolidated School District, Wisconsin",55,00052,1729.0,35.0,113.0,138.0,81.0,125.0,198.0,174.0,81.0,175.0,431.0,109.0,69.0,63120.0,33380.0,29740.0,690.0,1039.0,0.3990746096009254,36.50665124349335,3392.0,0.8750719631548647
"North Lakeland School District, Wisconsin",55,01530,846.0,76.0,102.0,107.0,132.0,96.0,68.0,108.0,14.0,39.0,59.0,11.0,34.0,21485.0,13040.0,8450.0,581.0,265.0,0.6867612293144209,25.39598108747045,2587.0,0.7194244604316546
"Brighton No. 1 School District, Wisconsin",55,01650,588.0,53.0,55.0,55.0,84.0,81.0,54.0,86.0,22.0,20.0,28.0,34.0,16.0,14905.0,8345.0,6560.0,382.0,206.0,0.6496598639455783,25.348639455782312,1248.0,0.8009188361408882
"Bristol No. 1 School District, Wisconsin",55,01710,2221.0,58.0,144.0,255.0,232.0,235.0,149.0,420.0,84.0,164.0,185.0,262.0,33.0,65705.0,34915.0,30790.0,1073.0,1148.0,0.4831157136425034,29.583520936515082,4930.0,0.8453389830508474
"Dover No. 1 School District, Wisconsin",55,03750,572.0,20.0,58.0,62.0,85.0,73.0,59.0,68.0,36.0,27.0,57.0,27.0,0.0,13995.0,7755.0,6235.0,357.0,215.0,0.6241258741258742,24.466783216783217,1806.0,0.838160136286201
"Erin School District, Wisconsin",55,04410,1282.0,7.0,65.0,97.0,121.0,145.0,108.0,239.0,108.0,116.0,210.0,30.0,36.0,42210.0,24045.0,18165.0,543.0,739.0,0.4235569422776911,32.92511700468019,2566.0,0.8893100833965125
"Lac du Flambeau No. 1 School District, Wisconsin",55,04620,1117.0,101.0,381.0,168.0,145.0,131.0,35.0,69.0,19.0,4.0,23.0,29.0,12.0,17280.0,9030.0,8250.0,961.0,156.0,0.8603401969561325,15.470008952551478,3437.0,0.790717299578059
"Fontana Joint No. 8 School District, Wisconsin",55,04720,957.0,58.0,144.0,173.0,150.0,129.0,40.0,57.0,12.0,6.0,57.0,81.0,50.0,23925.0,13675.0,10245.0,694.0,263.0,0.7251828631138976,25.0,2253.0,0.7872539831302718
"Maple Dale-Indian Hill School District, Wisconsin",55,04770,675.0,24.0,56.0,93.0,118.0,109.0,71.0,123.0,14.0,8.0,26.0,26.0,7.0,15215.0,9460.0,5755.0,471.0,204.0,0.6977777777777778,22.54074074074074,1595.0,0.8380566801619433
"Fox Point Joint No. 2 School District, Wisconsin",55,04800,4968.0,116.0,565.0,504.0,996.0,811.0,493.0,822.0,130.0,134.0,218.0,82.0,97.0,114140.0,62660.0,51480.0,3485.0,1483.0,0.7014895330112721,22.975040257648953,11158.0,0.8105792512572173
"Geneva Joint No. 4 School District, Wisconsin",55,05100,461.0,17.0,48.0,83.0,91.0,55.0,11.0,24.0,13.0,9.0,28.0,46.0,36.0,13450.0,7180.0,6270.0,305.0,156.0,0.6616052060737527,29.175704989154013,1135.0,0.7674418604651163
"Genoa City Joint No. 2 School District, Wisconsin",55,05130,2449.0,47.0,198.0,318.0,270.0,277.0,173.0,296.0,106.0,27.0,273.0,396.0,68.0,79535.0,48765.0,30770.0,1283.0,1166.0,0.5238873009391588,32.47652102899143,5356.0,0.914560770156438
"Glendale-River Hills School District, Wisconsin",55,05460,6024.0,141.0,578.0,1013.0,1127.0,1201.0,423.0,721.0,133.0,166.0,309.0,172.0,40.0,129090.0,60090.0,69005.0,4483.0,1541.0,0.7441899070385126,21.429282868525895,12791.0,0.8284717818642993
"Hartford Joint No. 1 School District, Wisconsin",55,06090,9017.0,443.0,1515.0,1212.0,529.0,719.0,632.0,1349.0,559.0,700.0,1020.0,276.0,63.0,222965.0,121370.0,101595.0,5050.0,3967.0,0.560053232782522,24.727181989575246,17823.0,0.809543918918919
"Hartland-Lakeside Joint No. 3 School District, Wisconsin",55,06140,5547.0,179.0,439.0,890.0,843.0,839.0,624.0,799.0,215.0,168.0,365.0,86.0,100.0,131375.0,75105.0,56270.0,3814.0,1733.0,0.6875788714620515,23.68397331891112,11215.0,0.8556223175965665
"Herman No. 22 School District, Wisconsin",55,06390,991.0,77.0,67.0,100.0,241.0,110.0,53.0,120.0,54.0,52.0,75.0,31.0,11.0,23340.0,14045.0,9300.0,648.0,343.0,0.6538849646821393,23.55196770938446,1888.0,0.8420542635658915
"Lake Geneva Joint No. 1 School District, Wisconsin",55,07620,7913.0,380.0,1408.0,1333.0,1047.0,975.0,414.0,493.0,101.0,147.0,562.0,790.0,263.0,197710.0,126480.0,71230.0,5557.0,2356.0,0.7022621003412106,24.98546695311513,17051.0,0.8137374725006111
"Linn Joint No. 4 School District, Wisconsin",55,08040,451.0,18.0,62.0,96.0,44.0,33.0,39.0,27.0,1.0,12.0,44.0,35.0,40.0,14065.0,9195.0,4865.0,292.0,159.0,0.647450110864745,31.186252771618626,1111.0,0.8198757763975155
"Linn Joint No. 6 School District, Wisconsin",55,08070,361.0,13.0,32.0,53.0,50.0,66.0,20.0,17.0,6.0,3.0,34.0,36.0,31.0,11445.0,6435.0,5015.0,234.0,127.0,0.6481994459833795,31.70360110803324,916.0,0.7333333333333333
"Richmond School District, Wisconsin",55,08130,1517.0,11.0,113.0,302.0,189.0,279.0,166.0,150.0,84.0,51.0,93.0,61.0,18.0,36915.0,21285.0,15635.0,1060.0,457.0,0.6987475280158207,24.33421226104153,3323.0,0.9124223602484473
"Swallow School District, Wisconsin",55,09240,1296.0,17.0,124.0,127.0,169.0,211.0,99.0,154.0,70.0,88.0,149.0,43.0,45.0,36980.0,23040.0,13935.0,747.0,549.0,0.5763888888888888,28.53395061728395,3326.0,0.8726114649681529
"North Lake School District, Wisconsin",55,09300,1304.0,46.0,130.0,98.0,203.0,169.0,140.0,157.0,100.0,88.0,114.0,45.0,14.0,33125.0,18065.0,15060.0,786.0,518.0,0.602760736196319,25.40260736196319,2757.0,0.8851985559566787
"Merton Community School District, Wisconsin",55,09360,3172.0,61.0,191.0,340.0,532.0,532.0,480.0,437.0,145.0,117.0,155.0,147.0,35.0,79805.0,43085.0,36720.0,2136.0,1036.0,0.6733921815889029,25.15920554854981,6427.0,0.8340151957919345
"Stone Bank School District, Wisconsin",55,09390,1321.0,38.0,52.0,127.0,176.0,207.0,106.0,262.0,47.0,60.0,139.0,67.0,40.0,38570.0,24940.0,13630.0,706.0,615.0,0.53444360333081,29.197577592732777,2788.0,0.8704225352112676
"Minocqua Joint No. 1 School District, Wisconsin",55,09690,2665.0,114.0,447.0,603.0,501.0,328.0,89.0,186.0,44.0,102.0,73.0,95.0,83.0,60735.0,35730.0,25005.0,2082.0,583.0,0.7812382739212007,22.78986866791745,6751.0,0.8342716396903589
"Neosho Joint No. 3 School District, Wisconsin",55,10410,1100.0,39.0,81.0,131.0,164.0,122.0,64.0,131.0,44.0,55.0,170.0,60.0,39.0,32115.0,17670.0,14445.0,601.0,499.0,0.5463636363636364,29.195454545454545,2136.0,0.7863247863247863
"Norway Joint No. 7 School District, Wisconsin",55,10800,912.0,31.0,26.0,59.0,81.0,117.0,87.0,180.0,86.0,95.0,66.0,55.0,29.0,28990.0,15440.0,13545.0,401.0,511.0,0.43969298245614036,31.787280701754387,1914.0,0.880927291886196
