district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,num_top_schools,percent_top_schools,avg_school_rating,best_rating,percent_students_in_top_schools,total_students,median_sale_price,median_sale_price_per_sqft,total_sales
0100007,Hoover City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",6,0.6,8.9,10,0.627433628318584,5650,270000,110.17699115044248,4984
0100011,Leeds City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,5.0,6,0.0,1259,139400,93.3791380387258,548
0100013,Trussville City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",1,1.0,10.0,10,1.0,939,240000,100.83036773428232,1517
0100390,Birmingham City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,2.33,8,0.0,7910,125000,60.72874493927125,4106
0100660,Chilton County School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,5.0,7,0.0,4253,187000,NA,1
0101760,Homewood City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",3,1.0,9.67,10,1.0,1798,290000,224.7191011235955,1336
0102350,Midfield City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,2.0,2,0.0,890,25000,21.665250637213255,154
0102490,Mountain Brook City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",4,1.0,10.0,10,1.0,2420,500000,164.42451420029894,1201
0102550,Oneonta City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,8.0,8,0.0,824,125000,16.414970453053183,196
0103030,Shelby County School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",6,0.5,8.0,10,0.620973463885341,7047,195000,99.6553704767375,6821
0103062,St Clair County School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",1,0.1,6.7,10,0.109816612729234,4635,155000,90.81346423562412,2122
0103270,Tarrant City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",0,0.0,3.0,3,0.0,264,21000,4.867256637168142,160
0103430,Vestavia Hills City School District,"Birmingham, AL","Birmingham-Hoover, AL","Birmingham-Hoover, AL",5,1.0,10.0,10,1.0,3142,319024,128.10499359795134,2076
0400001,Cave Creek Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,8.0,8,0.0,470,627170,220.01419446415898,1836
0400480,Aguila Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.0,4,0.0,158,177500,116.97860962566845,17
0400520,Ajo Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,3.0,3,0.0,296,36000,28.253886010362695,38
0400600,Alhambra Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",1,0.0714285714285714,3.07,10,0.0521541950113379,13671,99950,68.32298136645963,2089
0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",2,0.142857142857143,5.93,9,0.149641577060932,7812,222200,122.37762237762237,6576
0400790,Apache Junction Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,5.0,8,0.0,1807,175000,113.85816525699414,2880
0400840,Arlington Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.0,3,0.0,253,129000,76.07142857142857,26
0400960,Avondale Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.63,6,0.0,5244,157500,88.21170809943865,2425
0401050,Balsz Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.25,3,0.0,2696,126000,109.93975903614458,833
0401380,Buckeye Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.67,5,0.0,4781,140000,74.9,2724
0401680,Cartwright Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.47,6,0.0,13611,104500,72.85276073619632,2921
0401710,Casa Grande Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,3.56,6,0.0,4597,139500,73.4004739336493,2574
0401760,Catalina Foothills Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",4,1.0,9.0,9,1.0,2108,330000,156.9839307787392,2283
0401870,Chandler Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",16,0.551724137931034,7.48,10,0.599954212454212,21840,260000,131.8676923076923,14160
0402250,Continental Elementary District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",0,0.0,6.0,6,0.0,552,155000,96.74922600619195,2251
0402320,Coolidge Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,1.25,2,0.0,1867,149900,77.36943907156673,2164
0402430,Creighton Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,2.89,7,0.0,6702,180000,136.64596273291926,2314
0402690,Dysart Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0,0.0,4.67,8,0.0,14897,179000,97.14285714285714,10541
