district_nces_code,polygon_area,district_name,cbsa_title,median_sale_price,median_sale_price_per_sqft,total_sales
0600001,546100314.967975,Acton-Agua Dulce Unified,"Los Angeles-Long Beach-Anaheim, CA",49e4,217.32332707942464,442
0600006,28095849.1813272,Ross Valley Elementary School District,"San Francisco-Oakland-Hayward, CA",877e3,550.9641873278237,822
0600016,45805799.3784401,Upland Unified School District,"Los Angeles-Long Beach-Anaheim, CA",444e3,241.07142857142858,2129
0600019,42712149.4838367,Dublin Unified School District,"San Francisco-Oakland-Hayward, CA",698595.0,383.54253835425385,2410
0600020,120569124.671667,Pleasanton Unified School District,"San Francisco-Oakland-Hayward, CA",827627.0,439.1566265060241,2455
0600021,238046548.83063,Sunol Glen Unified School District,"San Francisco-Oakland-Hayward, CA",1338500.0,543.9560439560439,20
0600025,10219871.4869342,Manhattan Beach Unified School District,"Los Angeles-Long Beach-Anaheim, CA",185e4,869.6969696969697,1156
0600026,576364667.899495,El Tejon Unified School District,"Los Angeles-Long Beach-Anaheim, CA",165e3,121.869918699187,601
0600027,351872481.677674,Lake Elsinore Unified School District,"Los Angeles-Long Beach-Anaheim, CA",295e3,141.4451261077028,5367
0600029,434391114.280329,Murrieta Valley Unified School District,"Los Angeles-Long Beach-Anaheim, CA",335e3,149.4879147890209,5343
0600032,16119880.6922928,Redondo Beach Unified School District,"Los Angeles-Long Beach-Anaheim, CA",805e3,462.2013317665492,2582
0600047,1060935155.81296,Tracy Joint Unified School District,"San Francisco-Oakland-Hayward, CA",365e3,185.01170960187355,3068
0600153,30569069.1697807,Alhambra Unified School District,"Los Angeles-Long Beach-Anaheim, CA",53e4,360.57575018297143,1818
0601410,59566336.5009394,Lammersville Joint Unified,"San Francisco-Oakland-Hayward, CA",446e3,189.32222642938282,938
0601428,10071548.2815033,Wiseburn Unified School District,"Los Angeles-Long Beach-Anaheim, CA",6e5,433.4170854271357,438
0601620,38888635.1290065,Abc Unified School District,"Los Angeles-Long Beach-Anaheim, CA",43e4,303.030303030303,1853
0601650,210684020.192607,Acalanes Union High School District,"San Francisco-Oakland-Hayward, CA",689e3,418.2156133828996,5304
0601710,867199381.348487,Adelanto Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",167e3,91.699604743083,1796
0601770,29962012.1111466,Alameda Unified School District,"San Francisco-Oakland-Hayward, CA",735e3,456.7203131796433,1604
0601860,4391861.54213168,Albany City Unified,"San Francisco-Oakland-Hayward, CA",68e4,522.3123732251521,432
0602610,55180556.0314819,Anaheim City Schools,"Los Angeles-Long Beach-Anaheim, CA",419e3,284.9740932642487,2990
0602630,105103303.231511,Anaheim Union High School District,"Los Angeles-Long Beach-Anaheim, CA",43e4,291.09589041095893,6424
0602670,836315465.609337,West Sonoma County Union High,"San Francisco-Oakland-Hayward, CA",48e4,355.57986870897156,1667
0602820,3620355973.03289,Antelope Valley Union High School District,"Los Angeles-Long Beach-Anaheim, CA",21e4,116.3184641445511,14985
0602850,106875020.876522,Antioch Unified School District,"San Francisco-Oakland-Hayward, CA",313e3,173.74517374517376,4164
0602970,27636531.7742359,Arcadia Unified School District,"Los Angeles-Long Beach-Anaheim, CA",1025e3,488.4004884004884,1694
0603270,805099531.697372,Arvin Union Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",131500.0,89.5937673900946,127
0603600,387946950.768449,Azusa Unified School District,"Los Angeles-Long Beach-Anaheim, CA",353e3,273.9005046863735,1528
0603690,22836354.363054,Baldwin Park Unified School District,"Los Angeles-Long Beach-Anaheim, CA",335e3,271.7889908256881,992
