leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
100002,ALABAMA YOUTH SERVICES,AL,AL,-3.129204172,0.80409539,0.091925551,-0.432656727,0.375746211,0.130246143,0.090819653,0.340216814
100005,ALBERTVILLE CITY,AL,AL,-0.756010588,0.861677652,0.060932702,-0.246588365,0.051835417,0.044314058,0.034034138,0.100327095
100006,MARSHALL COUNTY,AL,AL,-0.313635726,1.008451032,0.152104809,-0.206459175,0.051502366,0.043836461,0.033984307,0.099619428
100007,HOOVER CITY,AL,AL,0.687390454,1.15764187,0.036763899,-0.837305756,0.049380691,0.042614854,0.032815907,0.095849847
100008,MADISON CITY,AL,AL,1.269743229,1.228981298,0.106121357,-1.10404952,0.055218359,0.045805556,0.036063509,0.106449322
100011,LEEDS CITY,AL,AL,-1.180095262,1.013667887,0.080047574,-0.708462117,0.061082697,0.051195854,0.039448673,0.116630375
100012,BOAZ CITY,AL,AL,-0.202894445,1.053344705,-0.073959175,-1.115044723,0.06040685,0.050228005,0.038248458,0.115553073
100013,TRUSSVILLE CITY,AL,AL,0.569480743,0.8765966,-0.010751011,-1.010994555,0.05778447,0.047979596,0.037601828,0.111120515
100018,ALABAMA SCHOOL OF FINE ARTS,AL,AL,2.229813443,1.117753954,0.021764753,-0.535298814,0.366905486,0.129316876,0.089408537,0.341704702
100030,ALEXANDER CITY,AL,AL,-0.282473954,0.914164266,0.008724391,-0.478004471,0.054951612,0.047199734,0.036022145,0.105901853
100060,ANDALUSIA CITY,AL,AL,-0.06298285,1.088097109,0.13233224,-0.464267318,0.066700887,0.055076581,0.042180848,0.126165847
100090,ANNISTON CITY,AL,AL,-2.345069102,0.676338399,0.029328316,-0.801514216,0.053152498,0.04595499,0.035160395,0.102572749
100100,ARAB CITY,AL,AL,1.125291001,0.941900455,0.039910978,-0.574110911,0.072604292,0.05663529,0.043968426,0.134228497
100120,ATHENS CITY,AL,AL,-0.132529274,0.965281721,-0.048004898,-0.957448504,0.057150816,0.04750123,0.037034669,0.109902377
100180,ATTALLA CITY,AL,AL,-1.178535387,0.793692164,0.040186994,-1.028125994,0.060678191,0.050936052,0.038639651,0.115708895
100185,SARALAND CITY,AL,AL,0.304172923,1.137064938,0.335864685,-0.546024323,0.067025294,0.053227202,0.042763325,0.123898264
100188,CHICKASAW CITY,AL,AL,-1.628301174,0.920059382,-0.010455085,-0.160199913,0.231593818,0.108019159,0.093118083,0.237462486
100189,SATSUMA CITY,AL,AL,-0.372058355,0.887044376,0.007145743,-0.928689369,0.234495433,0.107375793,0.092941942,0.24317582
100210,AUBURN CITY,AL,AL,0.921727211,1.010825247,0.069753976,-0.551821714,0.05501547,0.04622148,0.036083556,0.106238234
100240,AUTAUGA COUNTY,AL,AL,0.360470324,1.141330586,0.03167395,-0.376573076,0.049485166,0.043056635,0.032860084,0.095991326
100270,BALDWIN COUNTY,AL,AL,0.060586693,0.833390303,-0.011648345,-0.668996206,0.046227647,0.040307815,0.030916096,0.090072725
100300,BARBOUR COUNTY,AL,AL,-2.916861433,0.840592034,0.091494777,-0.664057364,0.063192014,0.05557699,0.041218281,0.120730319
100330,BESSEMER CITY,AL,AL,-1.615498769,0.776141247,-0.078041508,-0.022287488,0.050070447,0.043226926,0.033152955,0.097149435
100360,BIBB COUNTY,AL,AL,-1.220708281,0.917586225,0.008065555,-0.892134892,0.051969428,0.04475502,0.034414006,0.100687278
100390,BIRMINGHAM CITY,AL,AL,-1.813337844,0.872345662,0.027150369,-0.33262,0.045715826,0.03995004,0.030578598,0.089123509
100420,BLOUNT COUNTY,AL,AL,-1.03430541,0.854563334,0.134022244,-1.115803717,0.047851875,0.0414727,0.031903914,0.093084417
100450,BREWTON CITY,AL,AL,-0.153056666,1.116681696,0.162477614,-0.807831448,0.072019642,0.056492831,0.045375044,0.134133966
100480,BULLOCK COUNTY,AL,AL,-2.399629289,0.68644339,-0.002260145,-0.874889737,0.057812309,0.049543088,0.037266887,0.111198484
100510,BUTLER COUNTY,AL,AL,-1.205296352,0.940007744,0.058255069,-0.105653502,0.052371104,0.044822233,0.03459516,0.101338824
100540,CALHOUN COUNTY,AL,AL,-0.403702163,0.841419097,0.137699947,-1.124918724,0.048612481,0.042021241,0.032487171,0.094422532
100600,CHAMBERS COUNTY,AL,AL,-1.627784467,0.88497775,0.135481912,-1.038813558,0.050905382,0.044029116,0.033777101,0.098707454
100630,CHEROKEE COUNTY,AL,AL,-0.933701475,0.930949073,0.01524238,-0.501685208,0.051164981,0.044032366,0.033870603,0.099185579
100660,CHILTON COUNTY,AL,AL,-0.906481271,0.721885469,0.065729382,-0.716822241,0.048379878,0.042017481,0.032256294,0.094036679
100690,CHOCTAW COUNTY,AL,AL,-1.472333824,0.606912969,-0.101010692,-0.422320828,0.057926947,0.04946439,0.038026294,0.111285601
100720,CLARKE COUNTY,AL,AL,-1.53251115,0.808674779,0.052779028,-0.887392045,0.052221165,0.045198011,0.034434321,0.101124578
100750,CLAY COUNTY,AL,AL,-1.291528381,0.822808136,0.087605235,-0.603135938,0.055378016,0.046798127,0.036153107,0.10682706
100780,CLEBURNE COUNTY,AL,AL,-0.318830693,0.762810861,-0.044773851,-0.571976971,0.056854032,0.047593639,0.036811669,0.10936853
100810,COFFEE COUNTY,AL,AL,-0.471349712,0.826064845,-0.015522517,-0.706803513,0.060684131,0.050408348,0.038845978,0.116099256
100840,COLBERT COUNTY,AL,AL,-0.757893986,0.9401974,0.042649459,-0.513362584,0.054232388,0.046395323,0.035567134,0.104637809
100870,CONECUH COUNTY,AL,AL,-1.004871166,0.934430267,0.137723354,0.243864553,0.057515991,0.047568477,0.0376717,0.110543153
100900,COOSA COUNTY,AL,AL,-1.50714871,1.008670364,0.159157096,-0.773229735,0.060460169,0.050934183,0.038634221,0.115803586
100930,COVINGTON COUNTY,AL,AL,-0.282420609,0.848989229,-0.050841083,-0.779895501,0.054577901,0.046935583,0.035807127,0.105328047
100960,CRENSHAW COUNTY,AL,AL,-1.029610276,1.029261883,0.248488508,-0.443600906,0.056350922,0.047412959,0.036989875,0.108231225
100990,CULLMAN CITY,AL,AL,1.778921011,1.220409447,0.170560399,-0.559691735,0.079014159,0.067157688,0.047140567,0.146384645
101020,CULLMAN COUNTY,AL,AL,-0.297740407,0.848852276,0.10643624,-0.691348358,0.048540212,0.042003588,0.032284173,0.094289505
101050,DALE COUNTY,AL,AL,-0.618028155,1.185300856,0.193246426,-0.68863424,0.054818636,0.046551002,0.035690312,0.105775763
101080,DALEVILLE CITY,AL,AL,-1.551670097,0.85393729,0.046374173,-0.958790684,0.060932077,0.050970241,0.039375582,0.116845086
