LEAID,NAME_LEA15,CBSA,NAME_CBSA15,COUNT,LANDAREA,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool,median_sale_price,median_sale_price_per_sqft,total_sales,district_name,percent_under_30,total_population,percent_drive_alone,mean_commute_time,pop_density
2500067,Manchester Essex Regional School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,21.742740506905825,MANCHESTER ESSEX REGIONAL,MA,MA,2.744566406,1.077084471,0.06279309,-0.153396209,0.056294706,0.0480749,0.036866991,0.108294989,607e3,265.625,367,"Manchester Essex Regional School District, Massachusetts",0.5635072384594373,8894.0,0.6782201405152225,31.42583993444414,409.0560707917721
2500542,Ayer-Shirley School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,24.773117867727567,AYER SHIRLEY SCHOOL DISTRICT,MA,MA,1.216649983,0.868180718,-0.076574831,-0.089464707,0.091686361,0.076729344,0.052665025,0.138415273,NA,NA,NA,"Ayer-Shirley School District, Massachusetts",0.4628643058602319,15246.0,0.8189642380175101,33.08759009714823,615.425158892142
2501650,Abington School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,9.948462695580055,ABINGTON,MA,MA,1.079376403,1.03974595,-0.02885228,0.019248619,0.052679203,0.04539933,0.034862841,0.10183724,29e4,181.8746120422098,617,"Abington School District, Massachusetts",0.5240306477826794,16112.0,0.7771578228194034,31.41920130020896,1619.5467071669584
2501680,Acton School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,19.865310572867518,ACTON,MA,MA,3.109400325,1.26939395,0.017076097,0.088821323,0.078930587,0.061735737,0.038931658,0.114462435,NA,NA,NA,"Acton School District, Massachusetts",0.40295548747522075,22925.0,0.7996972754793138,35.76184898179852,1154.0217262604226
2501710,Acton-Boxborough School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,30.15111730247399,ACTON-BOXBOROUGH,MA,MA,3.084102036,1.161402571,0.076617923,0.98379792,0.198758103,0.100381299,0.051325264,0.15596849,481500.0,221.7391304347826,1361,"Acton-Boxborough School District, Massachusetts",0.4157254244698681,28062.0,0.7977016183870529,34.87903519638563,930.7117782231384
2501860,Amesbury School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,12.263042531471195,AMESBURY,MA,MA,1.360178313,0.961392675,0.11868211,-0.073949258,0.05296374,0.045672506,0.035144851,0.102385179,267e3,172.54901960784315,891,"Amesbury School District, Massachusetts",0.5318877551020408,16907.0,0.7403179344926918,30.699791280148425,1378.6953732412499
2501950,Andover School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,30.8490521963808,ANDOVER,MA,MA,2.933231278,1.147451041,-0.005255786,-0.07670294,0.047909627,0.041613752,0.032127628,0.093113181,513e3,230.35230352303523,1429,"Andover School District, Massachusetts",0.5510073552926127,34616.0,0.7965355080659563,30.96706108090822,1122.109028816812
2501980,Arlington School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,5.145980213035743,ARLINGTON,MA,MA,2.795304001,1.034284557,0.029729592,-0.407742935,0.04953042,0.043095266,0.033021374,0.096062781,55e4,346.1854460093897,1734,"Arlington School District, Massachusetts",0.46258413620166294,44128.0,0.644535791396778,30.946944701069025,8575.237014750935
2502100,Ashland School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,12.329749404244351,ASHLAND,MA,MA,1.837057524,1.170416001,0.065052152,0.216107511,0.051887179,0.045087531,0.034427374,0.100256671,336e3,183.22475570032574,844,"Ashland School District, Massachusetts",0.5019011406844106,17159.0,0.8018539976825029,31.4471035562514,1391.6746754068856
2502250,Avon School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,4.2909337803881735,AVON,MA,MA,1.518307424,0.982210708,0.114525183,0.243746785,0.066519138,0.055501327,0.042063415,0.126401109,265e3,179.0757381258023,154,"Avon School District, Massachusetts",0.5028735632183908,4453.0,0.8304470398711237,30.17241379310345,1037.7694525029854
