"district_nces_code","district_name","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
"1600180","Basin School District","Boise, ID","Boise City, ID","Boise City, ID",0,0,6,6,0,201
"3628320","Ramapo Central School District (suffern)","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",3,0.6,8.6,9,0.662479519388312,1831
"0643560","Yucaipa-Calimesa Joint Unified School District","Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0,5,7,0,3408
"3416560","Upper Freehold Regional School District","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,5,5,0,544
"0631860","Ravenswood City Elementary","San Francisco, CA","San Francisco-Redwood City-South San Francisco, CA","San Francisco-Oakland-Hayward, CA",0,0,2,3,0,2392
"1704710","Aurora West Community Unit School District 129","Elgin, IL","Elgin, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,4.3,8,0,5655
"2513290","Wrentham School District","Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0,7,7,0,498
"1303780","Morgan County School District","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",0,0,6,6,0,768
"2620980","Lakewood Public Schools","Grand Rapids, MI","Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI",1,1,9,9,1,113
"4205910","Chichester School District","Philadelphia, PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,3.75,6,0,1331
"3406390","Haddonfield Board of Education School District","Camden, NJ","Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,0.333333333333333,8,9,0.333050847457627,1180
"0606450","Burbank Unified School District","Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",3,0.272727272727273,7.64,9,0.33392425463336,6205
"3415720","Stanhope School District","Newark, NJ","Newark, NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",0,0,6,6,0,364
"0612880","Escondido Union School District","San Diego, CA","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",0,0,4.12,8,0,11736
"0600020","Pleasanton Unified School District","Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",9,1,9.78,10,1,6269
"1918750","Martensdale-St Marys Community School District","Des Moines, IA","Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",0,0,6,6,0,307
"4816740","Denton Independent School District","Dallas, TX","Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",5,0.238095238095238,6,10,0.231003990922607,12779
"3306240","Somersworth School District","Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",0,0,3.5,4,0,783
"3608370","Corinth Central School District","Albany, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,0,4,4,0,555
"1805700","Lawrenceburg Com School Corporation","Cincinnati, OH","Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",0,0,6,6,0,450
"4502760","Lexington 03 School District","Columbia, SC","Columbia, SC","Columbia, SC",0,0,4,4,0,464
