"district_nces_code","polygon_area","district_name","cbsa_title","median_sale_price","median_sale_price_per_sqft","total_sales"
"3407680",7346218.96337306,"Irvington Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",66000,36.1486486486486486,190
"3415750",72364249.8693014,"Stillwater Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",207500,36.5853658536585366,6
"3404200",304229.404698887,"East Newark Schools","New York-Newark-Jersey City, NY-NJ-PA",252500,86.5900383141762452,20
"3410530",117372680.478192,"Montague Public Schools","New York-Newark-Jersey City, NY-NJ-PA",59000,110,4
"3413470",1235424.11427833,"Prospect Park Schools","New York-Newark-Jersey City, NY-NJ-PA",225000,113.0806010928961749,70
"3415960",176142055.579291,"Sussex-Wantage Regional Schools","New York-Newark-Jersey City, NY-NJ-PA",189000,118.4144505770195685,20
"3414610",176837114.960193,"Sandyston-Walpack Townshi Schools","New York-Newark-Jersey City, NY-NJ-PA",410000,120.659211300765156,1
"3408130",46702467.8168758,"Lafayette Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",245000,124.8477466504263094,6
"3408060",361560010.179933,"Kittatinny Regional Schools","New York-Newark-Jersey City, NY-NJ-PA",280000,128.2051282051282051,21
"3406630",65690248.4942258,"Hampton Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",195000,128.4329563812600969,7
"3412150",5929902.69228654,"Ogdensburg Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",290000,131.4016172506738544,3
"3417880",5525199.41221155,"Wharton Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",218500,136.1454046639231824,9
"3415720",5820190.37786849,"Stanhope Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",225000,136.529126213592233,1
"3405550",46668396.8562125,"Fredon Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",330000,143.6781609195402299,7
"3402550",57454460.7170004,"Byram Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",215000,147.7272727272727273,8
"3411310",9480399.14169768,"New Providence Schools","New York-Newark-Jersey City, NY-NJ-PA",550000,149.0636704119850187,4
"3406090",42047837.9484045,"Green Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",505000,149.9406175771971496,8
"3409930",46985626.3020885,"Mendham Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",605500,159.3555093555093555,4
"3407440",31870222.0221764,"Hopatcong Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",208000,162.5,19
"3403930",7431866.52320132,"Dover Town Schools","New York-Newark-Jersey City, NY-NJ-PA",240500,164.6959459459459459,11
"3410350",7938982.23586293,"Mine Hill Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",257000,172.2090261282660333,8
"3414100",5480994.90254871,"Rockaway Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",315000,181.8181818181818182,10
"3415240",1916685.31493994,"South Hackensack Schools","New York-Newark-Jersey City, NY-NJ-PA",379900,184.8249027237354086,37
"3402610",2514389.07585408,"Califon Public Schools","New York-Newark-Jersey City, NY-NJ-PA",340000,186.4035087719298246,1
"3410860",7363445.98290746,"Mount Arlington Schools","New York-Newark-Jersey City, NY-NJ-PA",210000,187.7289377289377289,5
"3401860",23710155.4169003,"Bloomingdale Public Schools","New York-Newark-Jersey City, NY-NJ-PA",279000,195.0354609929078014,214
"3401980",22196168.999138,"Boonton Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",507600,205.5244985202236107,14
"3417190",15655734.5626699,"Watchung Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",1185000,217.4710956138741053,3
"3403060",80087573.4836972,"Chester Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",580000,224.0684793554884189,3
"3409810",3329610.61514816,"Maywood Public Schools","New York-Newark-Jersey City, NY-NJ-PA",365000,228.82689556509299,266
"3404170",21048363.6554452,"East Hanover Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",415000,238,17
"3414250",9199876.72709683,"Roseland Public Schools","New York-Newark-Jersey City, NY-NJ-PA",545000,254.5327754532775453,74
"3405250",19519689.5099841,"Florham Park Schools","New York-Newark-Jersey City, NY-NJ-PA",430000,260.989010989010989,7
"3400004",30463053.4627868,"School Districtof The Chathams","New York-Newark-Jersey City, NY-NJ-PA",675000,285.532994923857868,9
"3411010",7463033.90058561,"Mountain Lakes Schools","New York-Newark-Jersey City, NY-NJ-PA",700000,285.7790882286232706,20
"3406960",6093727.30784952,"Haworth Public Schools","New York-Newark-Jersey City, NY-NJ-PA",590000,291.2621359223300971,127
"3415900",15634550.6389953,"Summit City Schools","New York-Newark-Jersey City, NY-NJ-PA",499500,344.8601662887377173,12
"3404770",5328003.96854097,"Englewood Cliffs Schools","New York-Newark-Jersey City, NY-NJ-PA",1162000,383.1845238095238095,185
"3400870",23878279.1705648,"Alpine Public School District","New York-Newark-Jersey City, NY-NJ-PA",2300000,498.4944797591167615,43
"3406720",52847543.0878213,"Harding Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",945000,,1
"3409900",15522260.7620601,"Mendham Borough Public Schools","New York-Newark-Jersey City, NY-NJ-PA",240000,,2
"3410680",4340092.49602391,"Moonachie Public Schools","New York-Newark-Jersey City, NY-NJ-PA",340000,,35
"3412660",31437223.6242842,"Long Hill Township Public Schools","New York-Newark-Jersey City, NY-NJ-PA",387000,,3
