district_nces_code,median_sale_price,median_sale_price_per_sqft,total_sales
0103390,132000,NA,5
0509600,61000,41.666666666666664,5
0509720,157000,87.63586956521739,5
0510980,133000,85.1063829787234,5
0514400,115000,48.19277108433735,5
0603780,250000,147.72727272727272,5
0606720,88000,63.81435823060188,5
0617160,400000,221.6518898740084,5
0618240,176000,139.68481375358166,5
0626340,192000,213.33333333333334,5
0627300,1200000,427.19829120683517,5
0630900,336000,165.51724137931035,5
0637680,430000,189.45538818076477,5
0638070,400000,254.4529262086514,5
0641130,102000,96.73659673659674,5
0800016,126000,51.21527777777778,5
0805490,340000,148.95330112721416,5
0805640,193000,79.4979079497908,5
0806000,75000,34.72222222222222,5
0901740,73000,55.97014925373134,5
0904380,347000,165.85760517799352,5
1700005,36500,22.041062801932366,5
1733090,45000,42.61363636363637,5
1805580,180000,69.44444444444444,5
1928230,299500,94.91822429906541,5
2009360,229950,129.69543147208122,5
2100240,88000,51.76470588235294,5
2302950,99000,55.99547511312217,5
2608400,31123,30.232558139534884,5
2627960,198500,63.0824088748019,5
2703750,89000,178.99761336515513,5
2728950,200000,97.0873786407767,5
2791451,139900,94.04205607476635,5
2803540,165000,92.09100758396534,5
2908730,260000,125.54927809165098,5
2930870,150000,116.91348402182385,5
3304170,165000,89.47368421052632,5
3401320,267000,215.9090909090909,5
3404200,329000,NA,5
3408500,249000,216.62763466042153,5
3417010,168000,114.73684210526316,5
3417550,605500,NA,5
3500900,147000,91.17432530999271,5
3606210,120000,105.0,5
4005160,125000,53.389830508474574,5
4025080,161000,88.70967741935483,5
4030450,196750,68.02721088435374,5
4031080,104000,51.83727034120735,5
4031290,99500,79.47284345047923,5
4032880,195000,77.94117647058823,5
4102490,36878,32.57773851590106,5
4107530,84000,32.41719520789288,5
4108460,85000,78.41328413284133,5
4225440,345000,NA,5
4503030,335000,142.19015280135824,5
4503060,270000,111.01973684210526,5
4810380,135000,123.45679012345678,5
4811550,120000,154.86725663716814,5
4812360,117500,73.0952380952381,5
4813960,249000,127.95477903391573,5
4815120,42000,18.28471919895516,5
4817130,290000,108.37070254110613,5
4818030,76800,42.61363636363637,5
4819770,125000,77.834179357022,5
4820160,424290,195.52534562211983,5
4825140,111000,63.32002281802624,5
4825590,241000,123.07217766810611,5
4825870,200000,102.00153964588145,5
4831620,77000,63.11576354679803,5
4832970,65000,79.65686274509804,5
4834050,80000,29.706646862235424,5
4836990,175000,136.4365971107544,5
4838610,120000,82.54716981132076,5
4839210,218990,69.69764481222151,5
4841400,29000,21.87028657616893,5
4841790,162000,75.0,5
4844520,70000,42.06730769230769,5
5006210,121500,68.11145510835914,5
5007140,174000,103.83386581469648,5
5007680,205000,84.81588746379809,5
5102280,390000,127.43055555555556,5
5501470,194900,95.53921568627452,5
5503660,169500,76.54966392830471,5
5503860,405000,209.8997493734336,5
5506750,242000,484.0,5
5510980,198000,85.41560428352881,5
0403310,50000,40.91653027823241,6
0504050,70000,39.237668161434975,6
0509270,30505,28.541521284019538,6
0512090,50000,36.78474114441417,6
0600021,1730000,434.35095557210224,6
0601890,1050050,885.3709949409781,6
0608340,545000,210.4247104247104,6
0621240,110000,92.10134128166915,6
0626070,1130000,471.41574378928465,6
0628530,190000,118.97498474679682,6
0636820,59000,41.08635097493036,6
0640380,360000,227.19734660033168,6
0802550,390000,104.83870967741936,6
0802730,230000,154.14126927214056,6
0804440,87900,35.15625,6
0902820,60000,29.885057471264368,6
1719660,24900,18.85150812064965,6
1737650,44000,60.138888888888886,6
1737800,148000,85.71428571428571,6
1807350,295000,83.60438101559907,6
2306900,62000,58.71212121212121,6
2308160,75000,32.960199004975124,6
2314010,75000,65.04961411245866,6
2622410,195000,96.20128268376912,6
2702970,98000,44.08284023668639,6
2705660,81000,41.338582677165356,6
2713110,228000,179.9894123875066,6
2733300,134500,56.81818181818182,6
2738880,214500,106.18729096989966,6
2903000,56500,47.4537037037037,6
2910650,41000,32.69537480063796,6
2912450,126000,92.92035398230088,6
2921060,47000,NA,6
3100003,68000,42.592592592592595,6
3173590,285000,158.04597701149424,6
3402100,320000,NA,6
3402160,437000,159.6,6
3403570,425000,247.5,6
3406120,245000,NA,6
3406150,95000,59.523809523809526,6
3411010,817500,NA,6
3614640,148000,74.0,6
3619710,600000,705.0,6
3624240,254000,124.13793103448276,6
3624480,325000,160.49382716049382,6
3703090,125000,85.97883597883597,6
3904772,205000,98.56872805833109,6
3906496,68000,47.719298245614034,6
4002670,100000,61.979166666666664,6
4009750,68500,26.17142857142857,6
4012210,142000,54.91105955143078,6
4018900,133000,77.90762381747356,6
4022560,56500,40.82509669101848,6
4028710,28000,26.358475263584754,6
4030630,185000,97.72727272727273,6
4031500,99000,69.62025316455696,6
4032130,30500,24.709302325581394,6
4033603,65000,46.04007633587786,6
4101200,155000,117.78115501519757,6
4102610,175000,143.22916666666666,6
4110080,96500,56.15550755939525,6
4111640,275000,183.45563709139427,6
4219830,66000,NA,6
4223220,255000,93.15632867933165,6
4700750,109900,81.09756097560975,6
4817280,87000,68.82770870337478,6
4819050,31000,14.889529298751201,6
4820500,126000,73.77049180327869,6
4830780,77000,58.24541921154914,6
4837230,78000,38.01169590643275,6
4838850,51000,36.27311522048364,6
4840380,119000,62.63157894736842,6
5001980,190000,87.01261467889908,6
5003360,149900,68.19813352476669,6
5005580,155000,97.22222222222223,6
5006750,220000,128.46347607052897,6
5007830,180000,140.4494382022472,6
5007950,198500,93.23432343234323,6
5008040,215000,112.68512556342563,6
5009270,232000,103.2258064516129,6
5300720,134500,104.52961672473867,6
5305340,430000,153.57142857142858,6
5501650,350000,151.71137835337652,6
5509030,72500,44.207317073170735,6
5510920,122500,58.57142857142857,6
5512510,170000,130.76923076923077,6
5514880,120000,99.48224852071006,6
5516020,89900,75.54945054945055,6
0500405,111000,97.17314487632508,7
0502670,65000,36.95281409891984,7
0507860,87000,54.86542443064182,7
0509390,119900,71.8125,7
0602070,367500,175.51020408163265,7
0610350,164000,118.48958333333333,7
0611610,832500,474.64940668824164,7
0615150,600000,322.234156820623,7
