place_fips,percent_under_30,percent_drive_alone,total_population,pop_density,walk_score,polygon_area,nces_code,name,city,state_code,place_id,is_suburb,district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,school_quality,great_schools_rating,number_of_students,median_sale_price,median_sale_price_per_sqft,total_sales
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000043,Amelia Earhart Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,10,622,659000,414.8871262965223,281
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177013107,Maya Lin School,Alameda,CA,117,suburb,NA,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",average_school,6,321,NA,NA,NA
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000006,Bay Farm,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,9,583,928000,494.93052947803227,157
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000003,William G. Paden Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,8,316,662500,446.42857142857144,155
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000047,Henry Haight Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",average_school,6,452,666500,433.996383363472,243
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000051,Donald D. Lum Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,9,519,550000,462.2641509433962,211
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000044,Edison Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,9,486,925000,532.3054331864904,137
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177000054,Frank Otis Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,9,588,775000,500.0,226
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177011549,Ruby Bridges Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",average_school,6,600,830000,410.9959441189725,92
0600562,0.4996951895366881,0.5993502977801841,76733.0,0.002416759668608156,63.9628,31750364.3397821,060177004337,Franklin Elementary School,Alameda,CA,117,suburb,0601770,Alameda City Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,9,326,890000,463.7539663168172,102
0600618,0.49514563106796117,0.6815239776404824,16301.0,5.239884305389305e-4,NA,31109465.495706,063513005956,Rancho Romero Elementary School,Alamo,CA,21136,suburb,0635130,San Ramon Valley Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,10,508,1430000,479.02316844082657,315
0600618,0.49514563106796117,0.6815239776404824,16301.0,5.239884305389305e-4,NA,31109465.495706,063513005942,Alamo Elementary School,Alamo,CA,21136,suburb,0635130,San Ramon Valley Unified School District,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,10,344,1375000,464.78000413137784,177
0600674,0.5109830752610731,0.4825213627788259,19249.0,0.0034528046439329246,79.8,5574888.23870278,060186007937,Ocean View Elementary School,Albany,CA,148,suburb,0601860,Albany City Unified,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,9,697,NA,NA,NA
0600674,0.5109830752610731,0.4825213627788259,19249.0,0.0034528046439329246,79.8,5574888.23870278,060186000062,Marin Elementary School,Albany,CA,148,suburb,0601860,Albany City Unified,"Oakland, CA","Oakland-Hayward-Berkeley, CA","San Francisco-Oakland-Hayward, CA",top_school,10,499,NA,NA,NA
