"place_id","place_fips","polygon_area","is_suburb","walk_score"
30749,3651000,995829485.836497,"principal_city",88.8914
13136,3451000,76994013.5902349,"suburb",79.9629
9168,3436000,56015081.379144,"suburb",86.9747
20735,3684000,58402101.1864142,"suburb",70.7465
14759,3457000,22956365.2594119,"suburb",80.159
5417,3421000,35934888.380455,"suburb",80.082
26079,3473110,118237748.594519,"suburb",28.8454
3564,3413690,30030164.7726547,"suburb",61.8501
13026,3650617,33981453.8758297,"suburb",66.3337
14646,3456550,8614188.98251144,"suburb",82.6137
18931,3474630,3502045.72299397,"suburb",93.9968
12584,3649121,12534741.4428193,"suburb",76.1778
970,3403580,28668672.2606858,"suburb",79.6606
5001,3419390,10394092.9084397,"suburb",76.4969
21594,3608026,28897970.4846506,"suburb",38.2227
20373,3681677,30652878.0323725,"suburb",63.3982
13201,3451210,15443429.3040212,"suburb",73.439
8468,3633139,10648971.9372411,"suburb",74.136
8238,3432250,5199465.9292132,"suburb",95.0079
23620,3438580,23219256.0418435,"suburb",54.5379
15081,3458200,15409778.0774719,"suburb",77.1984
20004,3479610,3436113.82167835,"suburb",94.2266
15325,3459190,16036911.9419875,"suburb",58.7319
16859,3465790,54027444.2084887,"suburb",31.5558
7312,3428680,11946605.671948,"suburb",75.1895
26503,3679246,21872403.7400645,"suburb",45.2255
7020,3627485,14127419.5041979,"suburb",65.434
23332,3634374,17981412.6497206,"suburb",59.883
9295,3436510,30628898.7261211,"suburb",75.5787
10296,3440350,30083129.6162329,"suburb",68.3398
22242,3618157,36284836.6479807,"suburb",19.5788
19403,3676705,10044302.7846502,"suburb",64.837
22543,3622502,16736405.1584781,"suburb",54.0295
22661,3624273,9128165.64685639,"suburb",58.0118
21957,3613552,20580907.975716,"suburb",40.4449
6283,3424420,7474300.98998527,"suburb",82.1367
22201,3617530,33015112.1743476,"suburb",31.0711
23499,3637044,14478283.1461156,"suburb",51.5721
24488,3650100,43541109.284267,"suburb",24.3124
11031,3643335,6545555.47014268,"suburb",67.7963
5779,3422470,13815629.6207892,"suburb",57.902
21939,3613376,25893743.5814083,"suburb",23.3064
17996,3670420,8975290.25101887,"suburb",56.2084
22885,3627309,7695640.79374243,"suburb",68.1332
6627,3425770,5814781.24608148,"suburb",76.0523
15434,3659641,15205925.9264787,"suburb",63.8401
19891,3479040,20735172.6380411,"suburb",46.3513
10520,3441310,16777771.785798,"suburb",62.0524
24808,3654441,14373838.5482072,"suburb",57.7937
15333,3659223,6213184.29275922,"suburb",77.7339
21404,3604935,15466492.5117191,"suburb",49.1585
12851,3650034,12698088.9817058,"suburb",69.2257
15819,3461530,10661883.5161189,"suburb",65.9165
8270,3632402,52276896.6527396,"suburb",39.2236
23369,3635056,18993791.2772393,"suburb",27.6051
26556,3680302,17809583.909753,"suburb",32.7322
5544,3421480,13096292.344402,"suburb",62.1018
10827,3642554,9867787.28872325,"suburb",56.5015
22365,3619972,16273365.4064212,"suburb",43.1739
7419,3629113,19058921.0570132,"suburb",52.7413
1381,3405170,7464174.39016929,"suburb",62.4232
22405,3620687,41708043.5099752,"suburb",13.456
14484,3455950,32061178.067499,"suburb",37.4051
25077,3658442,15195273.8089193,"suburb",48.0794
25680,3667070,36050771.3539921,"suburb",25.2288
16161,3463000,19334886.5400735,"suburb",41.4122
14379,3655530,19225149.9973638,"suburb",61.9293
21345,3604143,9105383.40964242,"suburb",64.8186
26300,3676089,7018000.24006557,"suburb",62.4762
