"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
44620,6,12137,32.4767,,,29587.8,50913
44619,6,13415,27.9103,23.1063,32.7973,400891,601201
44618,6,6663,23.0423,,,27503.2,42517.9
44617,6,35937,65.3422,,,,41393.5
44616,6,35836,20.6671,,,1300.61,18452.7
44615,6,35864,41.0421,,,,16698.6
44614,6,35862,62.412,,,,17486.5
44613,6,35861,39.2326,,,,35830.8
44612,6,35857,37.6324,,,,53486.5
44611,6,35858,20.6853,,,,31611.8
44506,6,11746,34.252,25.2527,43.6967,180304,295383
1604,6,4901,25.3746,,,85907.5,189937
3857,6,3439,27.4154,,,7944.92,24078.2
1364,6,31219,43.3838,,,5976.38,19523.9
5327,6,15603,39.1855,,,41012.5,65148
4282,6,3672,77.7867,36.1023,,3233.28,19270.1
2978,6,7227,19.9436,,,9821.95,24461.5
2261,6,8152,64.8353,,,11871.5,17681.4
4750,6,16814,38.0361,,,28583.1,44376
1674,6,20205,21.6025,,,23646.1,65789.7
1204,6,26763,29.4034,,,9297.46,26786.3
903,6,15643,31.5438,,,6789.3,27452.8
835,6,13934,43.7183,27.9919,,92515.7,164260
2012,6,8714,21.5406,,,13267.6,29048.8
3045,6,35639,37.5373,,,138848,159387
14874,6,26798,28.8433,,,2237.62,20434.7
2587,6,6146,40.7679,26.7844,,,40462.4
1812,6,7123,39.993,,,12410,25446.3
796,6,12514,49.7303,,,22728.9,27292
4616,6,8873,19.6193,,,5836.86,16719.3
14177,6,514,65.481,34.3878,,48749,117924
4058,6,5984,27.9675,,,29417,81552.5
5234,6,3787,31.6885,,,61538.4,51040.3
4934,6,16951,25.8124,,,17693.2,18197.2
4988,6,9073,43.0308,,,35664.1,48507.4
1842,6,29488,12.1481,,,5553.97,23863.9
2512,6,17865,45.5851,,,26994.4,30150
5316,6,14426,41.7793,,,24396,25217.2
2650,6,16064,85.8193,62.4507,,,75448.8
3618,6,19360,57.7411,,,36330.8,62097.3
266,6,1823,34.8041,25.3228,28.5925,175338,212786
935,6,16938,73.0306,,,7923.5,23845.5
3582,6,30533,41.0372,,,6811.12,20705.9
1835,6,29486,42.2116,,,12103.1,16689
3794,6,19017,22.2861,,34.3245,143927,228366
