nces_code,name,city,state_code,is_suburb,district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,school_quality,great_schools_rating,number_of_students,median_sale_price,median_sale_price_per_sqft,total_sales
040000100120,Black Mountain Elementary School,Scottsdale,AZ,suburb,0400001,Cave Creek Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",top_school,8,470,375000,227.5449101796407,41
040060000012,Granada East School,Phoenix,AZ,principal_city,0400600,Alhambra Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",poor_school,2,1132,115000,98.55334538878843,9
040060001418,Montebello School,Phoenix,AZ,principal_city,0400600,Alhambra Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",poor_school,2,1357,149810,125.0,9
040060001486,Granada Primary School,Phoenix,AZ,principal_city,0400600,Alhambra Elementary District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",poor_school,1,949,115000,98.55334538878843,9
040068000025,Frances Owen Holaway Elementary School,Tucson,AZ,principal_city,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",poor_school,3,346,140000,123.55848434925865,11
040068000026,Helen Keeling Elementary School,Tucson,AZ,principal_city,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",poor_school,3,446,94500,77.01711491442543,6
040068000029,Lulu Walker School,Tucson,AZ,principal_city,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",average_school,6,547,135000,119.60600375234522,13
040068001001,Richard B Wilson Junior School,Tucson,AZ,principal_city,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",top_school,8,1253,212000,128.89935256032962,14
040068001031,Mesa Verde Elementary School,Tucson,AZ,principal_city,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",average_school,7,389,240000,142.7755568246716,5
040068001286,Rio Vista Elementary School,Tucson,AZ,principal_city,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",average_school,5,492,215000,142.2070534698521,8
040068001394,Copper Creek Elementary School,Oro Valley,AZ,suburb,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",top_school,8,587,216000,136.00485731633273,18
040068002066,Painted Sky Elementary School,Oro Valley,AZ,suburb,0400680,Amphitheater Unified District,"Tucson, AZ","Tucson, AZ","Tucson, AZ",top_school,9,671,218000,146.01139601139602,173
040079000041,Four Peaks Elementary School,Apache Junction,AZ,suburb,0400790,Apache Junction Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",average_school,4,677,132000,107.93871866295265,50
040079001461,Desert Vista Elementary School,Apache Junction,AZ,suburb,0400790,Apache Junction Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",poor_school,3,661,140000,119.28219563687544,27
040079002212,Peralta Trail Elementary School,Apache Junction,AZ,suburb,0400790,Apache Junction Unified District,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",top_school,8,469,210000,134.375,99
