school_nces_code,median_sale_price,median_sale_price_per_sqft,total_sales
040000100120,375000,227.5449101796407186,41
040060000012,115000,98.5533453887884268,9
040060001418,149810,125.0000000000000000,9
040060001486,115000,98.5533453887884268,9
040068000025,140000,123.5584843492586491,11
040068000026,94500,77.0171149144254279,6
040068000029,135000,119.6060037523452158,13
040068001001,212000,128.8993525603296057,14
040068001031,240000,142.7755568246716162,5
040068001286,215000,142.2070534698521047,8
040068001394,216000,136.0048573163327262,18
040068002066,218000,146.0113960113960114,173
040079000041,132000,107.9387186629526462,50
040079001461,140000,119.2821956368754398,27
040079002212,210000,134.3750000000000000,99
040096002494,165900,111.1111111111111111,6
040138002490,177900,120.2986725663716814,85
040168001055,89900,76.5895953757225434,6
040168003122,135905,96.6595593461265103,6
040171000107,105450,81.1808118081180812,8
040171000109,79900,70.1186623516720604,7
040171000111,177000,124.7352496217851740,57
040171000112,80000,58.3333333333333333,6
040171001027,159000,108.6675291073738680,24
040171001056,141000,106.0985797827903091,6
040176000117,267000,156.9186875891583452,12
040176001002,300000,177.2575250836120401,11
040176001358,177500,170.0154559505409583,6
040187000129,130000,116.0714285714285714,9
040187001206,187000,144.4759206798866856,13
040187001289,156000,137.8751013787510138,5
040187001359,197000,168.6184812442817932,7
040187001399,185000,157.7563540753724803,6
040187001532,212000,133.9805825242718447,268
040187001675,160000,128.7208366854384553,13
040187002125,187000,156.0480147737765466,89
040187002380,249750,161.0863095238095238,46
040187002873,275000,155.8956916099773243,7
040187002951,299123,206.5527065527065527,5
040225000156,164000,106.9986541049798116,273
040232000164,32601,23.9773442416614223,5
040232002643,130000,108.7866108786610879,6
040232003079,130000,108.7866108786610879,6
040243000174,123000,89.3895348837209302,6
040243000176,164000,130.6058221872541306,15
040243000177,155000,115.0406504065040650,10
040243000178,185000,141.1347517730496454,6
040243000181,115000,113.6363636363636364,5
040243001999,125000,104.1666666666666667,7
040269000197,132900,117.4577634754625905,7
040269001462,210000,138.6018237082066869,443
040269002402,175000,131.5789473684210526,39
040269002655,136149,100.0834028356964137,8
040269002679,210000,137.0056497175141243,63
040269002907,110000,71.2468193384223919,6
040269003124,135000,121.0300429184549356,11
040269003125,145000,119.3265007320644217,6
040292000227,50000,28.0112044817927171,9
040292002210,198000,126.2626262626262626,27
040292002436,116000,104.4676806083650190,6
040292002559,192500,130.0353356890459364,25
040292002637,177000,124.8339973439575033,72
040304000239,305845,183.9016210173281163,59
040304001296,305845,183.9016210173281163,59
040340000265,181000,149.0939044481054366,6
040340000602,190000,134.8721590909090909,9
040340001215,181650,150.5273250239693193,6
040340001365,200000,146.5927099841521395,11
040340001537,136000,118.5567010309278351,5
040340001985,218100,130.0236406619385343,39
040340001986,196000,168.9771766694843618,5
040340002114,238100,161.8181818181818182,32
040340002476,300000,176.3925729442970822,9
040342000263,130000,99.2063492063492063,11
040342000269,102000,81.6000000000000000,9
040342001538,130000,99.2063492063492063,11
040378001392,185000,133.2191780821917808,15
040378002477,169900,137.7134372680029696,10
040378002663,253000,171.6641679160419790,85
040378002805,187000,145.3874538745387454,7
040378003007,240000,154.5454545454545455,9
040399002811,256500,165.9751037344398340,40
040423000297,220000,173.9915713425647200,5
040423000332,187000,142.7738927738927739,70
040423000677,182000,171.2135465663217310,6
040423001128,203000,150.6849315068493151,11
040423001231,185000,158.3011583011583012,12
040423001299,203000,156.7055393586005831,10
040423001370,184800,149.8637602179836512,11
040423001546,225000,149.0267639902676399,6
040429002398,183339,138.4735649546827795,6
040432000343,144000,111.4864864864864865,11
040438000345,254000,163.7202152190622598,139
040438002431,229000,148.9222730241672110,13
040438002782,228000,146.0894266175697002,12
040450000353,410000,244.6853146853146853,6
040450000355,318000,209.4017094017094017,18
040450000357,175000,137.2074253430185634,18
040450000358,215000,188.2145998240985048,10
040450000359,245000,196.0000000000000000,12
040450000678,175000,137.2074253430185634,18
040463000333,127500,118.9427312775330396,18
040463001163,134900,121.4221422142214221,5
040463001408,248000,151.5863689776733255,67
040463002197,172500,126.5634306134603931,46
040477002400,27500,23.4842015371477370,5
040497000382,81000,70.2515177797051171,8
040497000384,90000,67.2143390589992532,6
040497000393,170000,132.9457364341085271,11
040497000394,154000,115.8720579360289680,85
040497000401,130000,97.3901973265436028,5
040497000415,142500,128.1588447653429603,11
040497000417,204500,137.2997711670480549,16
040497000551,215000,142.6426426426426426,28
040497000553,185000,140.7657657657657658,17
040497001070,165000,118.5458377239199157,93
040497001072,175000,158.2278481012658228,10
040497001166,150000,125.9259259259259259,23
040497001167,172000,158.8283828382838284,9
040497001305,135000,107.2667217175887696,103
040497001374,178000,142.4694708276797829,6
040497001409,170000,114.6236559139784946,150
040497001550,164900,121.7906517445687953,8
040497001667,159000,109.3439363817097416,31
040497002108,134000,121.7437533227006911,10
040497002280,174900,166.8321747765640516,9
040497003229,172000,158.2278481012658228,21
040564001416,230000,135.9375000000000000,95
040567000459,242000,166.9230769230769231,23
040567000460,242000,166.9230769230769231,23
040567001170,214000,162.1240601503759398,31
040593000126,173000,137.7388535031847134,11
040593000276,360000,200.9672219236969371,7
040593000473,183500,177.9825412221144520,5
040593001080,144000,121.4539007092198582,23
040593001083,173500,147.3214285714285714,19
040593001240,161495,133.2364341085271318,15
040593001471,280000,159.3625498007968127,9
040593001869,190000,125.9097525473071325,5
040593002343,173500,147.3214285714285714,19
040621001241,86000,78.7545787545787546,12
040621001499,155000,107.3388203017832647,10
040621002570,132000,91.0973084886128364,7
040625000585,171000,140.9017713365539452,9
040625001092,137000,114.6443514644351464,6
040625001137,145000,119.6506550218340611,7
040625001242,212900,139.7210663198959688,7
040625001380,154900,123.9606953892668178,8
040625001425,145000,105.2259887005649718,7
040625001473,242850,169.6880341880341880,5
040625001501,230000,141.6893732970027248,72
040625001982,125000,99.3858179787828029,44
040625001983,157000,143.9046746104491292,5
040625002111,243000,147.3149492017416546,79
040625002990,285000,170.7577374599786553,99
040625003145,179900,126.8768768768768769,58
040630000522,230000,196.8174204355108878,15
040630000530,178000,162.4883936861652739,21
040630000533,325000,230.9468822170900693,24
040630000537,238000,196.1102106969205835,20
040690000577,113028,86.0156250000000000,8
040702002487,65000,61.5530303030303030,5
