school_nces_code;school_name;district_nces_code;district_name;cbsa_title;median_sale_price;median_sale_price_per_sqft;total_sales
010000600877;DOUGLAS ELEMENTARY SCHOOL;0100006;Marshall County School District;Birmingham-Hoover, AL;70400;;3
010000700091;TRACE CROSSINGS ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;320000;134.0326340326340326;340
010000700248;GREYSTONE ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;363000;108.7470449172576832;614
010000700342;SOUTH SHADES CREST ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;245900;90.4240282685512367;353
010000701483;DEER VALLEY ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;321779;120.6718346253229974;918
010000701738;BLUFF PARK ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;215000;105.0275482093663912;490
010000701739;GREEN VALLEY ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;253174;103.6623215394165115;540
010000701740;GWIN ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;338500;114.6461336828309305;534
010000701742;ROCKY RIDGE ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;282000;103.9316790203029326;459
010000701743;SHADES MOUNTAIN ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;194500;76.5467171717171717;268
010000702091;RIVERCHASE ELEMENTARY SCHOOL;0100007;Hoover City School District;Birmingham-Hoover, AL;232900;110.1769911504424779;468
010001102094;LEEDS ELEMENTARY SCHOOL;0100011;Leeds City School District;Birmingham-Hoover, AL;139400;93.3791380387257964;548
010001102095;LEEDS MIDDLE SCHOOL;0100011;Leeds City School District;Birmingham-Hoover, AL;139400;93.3791380387257964;548
010001301498;PAINE INTERMEDIATE SCHOOL;0100013;Trussville City School District;Birmingham-Hoover, AL;240000;100.8303677342823250;1517
010039000103;AVONDALE ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;195000;136.5894039735099338;1986
010039000106;BARRETT ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;18501;10.6237148732008225;154
010039000107;CHARLES A. BROWN ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;17300;10.9347442680776014;123
010039000112;CENTRAL PARK ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;18500;26.7947421638018200;109
010039000136;HEMPHILL ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;12500;9.4607379375591296;131
010039000139;BERTAM A. HUDSON K-8 SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;8500;9.2997811816192560;17
010039000142;INGLENOOK K-8 SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;12000;;54
010039000150;GIDDINGS S. LEWIS ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;13500;7.0859167404782994;75
010039000156;MINOR ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;15000;10.0694444444444444;104
010039000179;ROBINSON ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;25000;19.2982456140350877;197
010039000187;TUGGLE ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;40000;36.2841945288753799;83
010039000190;WASHINGTON K-8 SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;14500;5.5256064690026954;36
010039000201;WYLAM ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;11750;;59
010039001421;SOUTH HAMPTON K-8 SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;56000;77.9569892473118280;122
010039001484;GLEN IRIS ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;127000;105.7268722466960352;418
010039001762;SUN VALLEY ELEMENTARY SCHOOL;0100390;Birmingham City School District;Birmingham-Hoover, AL;77000;20.6953642384105960;210
010066000261;ISABELLA HIGH SCHOOL;0100660;Chilton County School District;Birmingham-Hoover, AL;187000;;1
010066000265;MAPLESVILLE HIGH SCHOOL;0100660;Chilton County School District;Birmingham-Hoover, AL;187000;;1
010066000270;THORSBY HIGH SCHOOL;0100660;Chilton County School District;Birmingham-Hoover, AL;187000;;1
010066000288;VERBENA HIGH SCHOOL;0100660;Chilton County School District;Birmingham-Hoover, AL;187000;;1
010066001431;CLANTON INTERMEDIATE SCHOOL;0100660;Chilton County School District;Birmingham-Hoover, AL;187000;;1
010066001657;JEMISON ELEMENTARY SCHOOL;0100660;Chilton County School District;Birmingham-Hoover, AL;187000;;1
010102000375;COLD SPRINGS ELEMENTARY SCHOOL;0101020;Cullman County School District;Birmingham-Hoover, AL;65477;;1
010102000414;HANCEVILLE ELEMENTARY SCHOOL;0101020;Cullman County School District;Birmingham-Hoover, AL;238000;;1
010102000440;HOLLY POND ELEMENTARY SCHOOL;0101020;Cullman County School District;Birmingham-Hoover, AL;196000;;1
